Title,Genre,Language,Imdb_Score,Premiere,Runtime,Year,Imdb_Category
The Last Thing He Wanted,Political thriller,ENGLISH,4.3,21/02/2020,115,2020,Awful
The Fundamentals of Caring,Comedy-drama,ENGLISH,7.3,24/06/2016,97,2016,Excellent
We Can Be Heroes,Superhero,ENGLISH,4.7,25/12/2020,100,2020,Awful
Bird Box,Psychological thriller,ENGLISH,6.6,21/12/2018,124,2018,Good
Love per Square Foot,Romantic comedy,HINDI,7.2,14/02/2018,133,2018,Excellent
Nappily Ever After,Comedy-drama,ENGLISH,6.4,21/09/2018,98,2018,Good
The Dirt,Biopic,ENGLISH,7.0,22/03/2019,108,2019,Excellent
All in My Family,Documentary,ENGLISH_MANDARIN,6.8,03/05/2019,39,2019,Good
Cadaver,Horror,NORWEGIAN,5.1,22/10/2020,86,2020,Not Bad
Murder Mystery,Comedy mystery,ENGLISH,6.0,14/06/2019,97,2019,Good
Class of '83,Drama,HINDI,5.8,21/08/2020,98,2020,Not Bad
The Legacy of a Whitetail Deer Hunter,Adventure/Comedy,ENGLISH,5.5,06/07/2018,83,2018,Not Bad
XOXO,Drama,ENGLISH,5.3,26/08/2016,92,2016,Not Bad
Whipped,Romantic comedy,INDONESIAN,4.1,18/09/2020,97,2020,Awful
Velvet Buzzsaw,Thriller,ENGLISH,5.7,01/02/2019,112,2019,Not Bad
The Death and Life of Marsha P. Johnson,Documentary,ENGLISH,7.3,06/10/2017,105,2017,Excellent
Alien Xmas,Stop Motion,ENGLISH,6.2,20/11/2020,42,2020,Good
Kaali Khuhi,Mystery,HINDI,3.4,30/10/2020,90,2020,Awful
Hillbilly Elegy,Drama,ENGLISH,6.7,24/11/2020,117,2020,Good
Little Miss Sumo,Documentary,JAPANESE,6.7,28/10/2019,19,2019,Good
Leyla Everlasting,Comedy,TURKISH,3.7,04/12/2020,112,2020,Awful
Isi & Ossi,Romantic comedy,GERMAN,6.4,14/02/2020,113,2020,Good
Love Wedding Repeat,Romantic comedy,ENGLISH,5.5,10/04/2020,100,2020,Not Bad
Heroin(e) ,Documentary,ENGLISH,6.8,12/09/2017,39,2017,Good
Long Live Brij Mohan,Comedy,HINDI,6.8,03/08/2018,105,2018,Good
Shawn Mendes: Live in Concert,Concert Film,ENGLISH,7.4,25/11/2020,87,2020,Excellent
Eurovision Song Contest: The Story of Fire Saga,Musical comedy,ENGLISH,6.5,26/06/2020,123,2020,Good
Who Would You Take to a Deserted Island?,Drama,SPANISH,5.3,12/04/2019,93,2019,Not Bad
Wine Country,Comedy,ENGLISH,5.5,10/05/2019,103,2019,Not Bad
Let It Snow,Romantic comedy,ENGLISH,5.8,08/11/2019,92,2019,Not Bad
To the Bone,Drama,ENGLISH,6.8,14/07/2017,107,2017,Good
Gerald's Game,Horror thriller,ENGLISH,6.5,29/09/2017,103,2017,Good
It Takes a Lunatic,Documentary,ENGLISH,6.6,25/10/2019,126,2019,Good
Laerte-se,Documentary,PORTUGUESE,6.9,19/05/2017,100,2017,Good
Guillermo Vilas: Settling the Score,Documentary,SPANISH,7.1,27/10/2020,94,2020,Excellent
Secrets of the Saqqara Tomb,Documentary,ENGLISH_ARABIC,7.3,28/10/2020,114,2020,Excellent
Things Heard & Seen,Horror,ENGLISH,5.3,29/04/2021,121,2021,Not Bad
ARQ,Science fiction/Thriller,ENGLISH,6.4,16/09/2016,88,2016,Good
Outlaw King,Historical-epic,ENGLISH,6.9,09/11/2018,121,2018,Good
Emicida: AmarElo - It's All For Yesterday,Documentary,PORTUGUESE,8.6,08/12/2020,89,2020,Excellent
Athlete A,Documentary,ENGLISH,7.6,24/06/2020,104,2020,Excellent
Marriage Story,Drama,ENGLISH,7.9,06/12/2019,136,2019,Excellent
Dolly Parton's Christmas on the Square,Christmas musical,ENGLISH,5.2,22/11/2020,98,2020,Not Bad
The Package,Black comedy,ENGLISH,5.5,10/08/2018,94,2018,Not Bad
Unknown Origins,Thriller,SPANISH,6.1,28/08/2020,96,2020,Good
Roma,Drama,SPANISH,7.7,14/12/2018,135,2018,Excellent
"Love, Guaranteed",Romantic comedy,ENGLISH,5.6,03/09/2020,91,2020,Not Bad
Rich in Love,Romantic comedy,PORTUGUESE,5.8,30/04/2020,105,2020,Not Bad
Bigflo & Oil: Hip Hop Frenzy,Documentary,FRENCH,6.9,08/10/2020,100,2020,Good
Private Life,Drama,ENGLISH,7.2,05/10/2018,124,2018,Excellent
The Most Hated Woman in America,Biopic,ENGLISH,6.1,24/03/2017,92,2017,Good
Beats,Drama,ENGLISH,7.1,19/06/2019,110,2019,Excellent
Shirkers,Documentary,ENGLISH,7.4,26/10/2018,97,2018,Excellent
Drive,Action,HINDI,3.5,01/11/2019,147,2019,Awful
City of Joy,Documentary,ENGLISH,7.5,07/09/2018,74,2018,Excellent
Blue Miracle,Drama,ENGLISH,6.7,27/05/2021,95,2021,Good
David Attenborough: A Life on Our Planet,Documentary,ENGLISH,9.0,04/10/2020,83,2020,Excellent
The Other Side of the Wind,Drama,ENGLISH,6.8,02/11/2018,122,2018,Good
One-Way to Tomorrow,Romance,TURKISH,5.6,19/06/2020,90,2020,Not Bad
The App,Science fiction/Drama,ITALIAN,2.6,26/12/2019,79,2019,Awful
Derren Brown: Sacrifice,Mentalism special,ENGLISH,7.1,19/10/2018,49,2018,Excellent
The Night Comes for Us,Action-thriller,INDONESIAN,7.0,19/10/2018,121,2018,Excellent
John Mulaney & the Sack Lunch Bunch,Variety show,ENGLISH,7.5,24/12/2019,70,2019,Excellent
The Bleeding Edge,Documentary,ENGLISH,7.6,27/07/2018,100,2018,Excellent
Triple Frontier,Action-thriller,ENGLISH,6.4,13/03/2019,125,2019,Good
Into the Inferno,Documentary,ENGLISH,7.2,28/10/2016,107,2016,Excellent
Walk. Ride. Rodeo.,Drama,ENGLISH,6.4,08/03/2019,99,2019,Good
The Willoughbys,Animation/Comedy/Adventure,ENGLISH,6.4,22/04/2020,90,2020,Good
Mrs. Serial Killer,Thriller,HINDI,4.8,01/05/2020,106,2020,Awful
Lost Bullet,Thriller,FRENCH,6.2,19/06/2020,92,2020,Good
Despite Everything,Comedy,SPANISH,5.4,03/05/2019,78,2019,Not Bad
Reversing Roe,Documentary,ENGLISH,7.5,13/09/2018,99,2018,Excellent
The Cloverfield Paradox,Science fiction,ENGLISH,5.5,04/02/2018,102,2018,Not Bad
Spelling the Dream,Documentary,ENGLISH,6.9,03/06/2020,83,2020,Good
Mascots,Mockumentary,ENGLISH,5.8,13/10/2016,95,2016,Not Bad
The Open House,Horror thriller,ENGLISH,3.2,19/01/2018,94,2018,Awful
Rocko's Modern Life: Static Cling,Animation / Comedy,ENGLISH,7.0,09/08/2019,45,2019,Excellent
Rogue City,Crime drama,FRENCH,6.1,30/10/2020,116,2020,Good
Feel the Beat,Family/Comedy-drama,ENGLISH,6.3,19/06/2020,107,2020,Good
Dolemite Is My Name,Biopic,ENGLISH,7.3,25/10/2019,118,2019,Excellent
Set It Up,Romantic comedy,ENGLISH,6.5,15/06/2018,105,2018,Good
True Memoirs of an International Assassin,Action comedy,ENGLISH,5.9,11/11/2016,98,2016,Not Bad
Rising High,Satire,GERMAN,5.8,17/04/2020,94,2020,Not Bad
Paper Lives,Drama,TURKISH,6.7,12/03/2021,97,2021,Good
The Heartbreak Club,Comedy-drama,INDONESIAN,6.4,14/01/2021,101,2021,Good
Special Correspondents,Satire,ENGLISH,5.8,29/04/2016,100,2016,Not Bad
Nail Bomber: Manhunt,Documentary,ENGLISH,6.3,26/05/2021,72,2021,Good
Get Me Roger Stone,Documentary,ENGLISH,7.3,12/05/2017,101,2017,Excellent
"Ram Dass, Going Home",Documentary,ENGLISH,7.1,06/04/2018,31,2018,Excellent
Crip Camp: A Disability Revolution,Documentary,ENGLISH,7.7,25/03/2020,108,2020,Excellent
The Holiday Calendar,Romantic comedy,ENGLISH,5.7,02/11/2018,95,2018,Not Bad
On My Skin,Crime drama,ITALIAN,7.3,12/09/2018,100,2018,Excellent
